[0712/002211.066:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2b4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002213.613:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2b4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002213.709:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2b4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002213.726:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2b4001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/002352.558:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3004001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002352.876:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3004001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002352.969:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3004001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002352.986:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3004001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/002544.236:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7104001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002544.301:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7104001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002544.392:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7104001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002544.418:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7104001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/002631.760:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7a64001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002631.822:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7a64001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002631.928:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7a64001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002631.954:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7a64001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/002814.178:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45c4001bfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002814.241:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45c4001bfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/002814.336:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45c4001bfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
